Autore;Titolo;;Data
HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David;Biologia;;1780
ALBORINO Pasquale-BARBONE Sandro-CASTIELLO Mario rosario;Igiene e cultura medico-sanitaria;;1781
ALBORINO Pasquale-BARBONE Sandro-CASTIELLO Mario rosario;Igiene e cultura medico-sanitaria;;1782
ALBORINO Pasquale-BARBONE Sandro-CASTIELLO Mario rosario;Igiene e cultura medico-sanitaria;;1783
ALBORINO Pasquale-BARBONE Sandro-CASTIELLO Mario rosario;Igiene e cultura medico-sanitaria;;1784
HALLIDAY David-RESNICK Robert-WALKER Jearl;Fondamenti di fisica;;1785
HALLIDAY David-RESNICK Robert-WALKER Jearl;Fondamenti di fisica;;1786
FERRÈ Fabrizio-HELMER CITTERICH Manuela-PAVESI Giulio-PESOLE Graziano-ROMUALDI Chiara;Fondamenti di bioinformatica;;1787
;Grammatica inglese;;1788
VISINTINI Giovanna;Guida alle esercitazioni di diritto privato e allo studio della giurisprudenza civile;;1789
AMALDI Ugo;L'Amaldi per i licei scientifici.blu;;1790
CARRADA Luisa;Struttura & Sintassi;;1791
MAURI Luca-SCHLESINGER Enrico;Esercizi di algebra lineare e geometria;;1792
CRICCO Giorgio-DI TEODORO Francesco Paolo;Itinerario nell'arte;;1793
CRICCO Giorgio-DI TEODORO Francesco Paolo;Itinerario nell'arte;;1794
CRICCO Giorgio-DI TEODORO Francesco Paolo;Itinerario nell'arte;;1795
CRICCO Giorgio-DI TEODORO Francesco Paolo;Itinerario nell'arte;;1796
CRICCO Giorgio-DI TEODORO Francesco Paolo;Itinerario nell'arte;;1797
;Impara l'arabo con Zanichelli;;1798
NEBULONI Giorgio;Assistenza infermieristica alla persona anziana;;1799
KLEIN Simonetta;Il racconto delle scienze naturali;;1800
KLEIN Simonetta;Il racconto delle scienze naturali;;1801
MAZZACUVA Nicola-ROSSI VANNINI Alessandra;Art. 232-241;;1802
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1803
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1804
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1805
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1806
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1807
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1808
MARISALDI Luciano-PAOLUCCI Silvio-SIGNORINI Giuseppina;L'ora di storia;;1809
CODEGONE Marco-LUSSARDI Luca;Metodi matematici per l'ingegneria;;1810
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.azzurro;;1811
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.azzurro;;1812
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.azzurro;;1813
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.azzurro;;1814
STEFANI Stefania;Verbi francesi;;1815
BOIERI Paolo-CHITI Giuseppe;Precorso di matematica;;1816
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Compact Performer Shaping Ideas;;1817
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Compact Performer Shaping Ideas;;1818
LAYTON Margaret-SPIAZZI Marina-TAVELLA Marina;Compact Performer Shaping Ideas;;1819
AMALDI Ugo;Il nuovo Amaldi per i licei scientifici.blu;;1820
AMALDI Ugo;Il nuovo Amaldi per i licei scientifici.blu;;1821
AMALDI Ugo;Il nuovo Amaldi per i licei scientifici.blu;;1822
FIORANI Tiziana-POSCA Vito;Chimica più.verde;;1823
FIORANI Tiziana-POSCA Vito;Chimica più.verde;;1824
FIORANI Tiziana-POSCA Vito;Chimica più.verde;;1825
FIORANI Tiziana-POSCA Vito;Chimica più.verde;;1826
FIORANI Tiziana-POSCA Vito;Chimica più.verde;;1827
STEFANI Massimo-TADDEI Niccolò;Chimica, biochimica e biologia applicata;;1828
SITÀ Maria Grazia-VACCARONE Alessandra;La musica;;1829
SITÀ Maria Grazia-VACCARONE Alessandra;La musica;;1830
BIGNAMI Giovanni F.-CARAVEO Patrizia-DALLA CASA Stefano;I marziani siamo noi;;1831
DEL VISCOVO Anna-GRIGNANI Maria Antonietta-POLIMENI Giuseppe;Viaggio tra parole e regole;;1832
BELFIORE Nicola Pio-DI BENEDETTO Augusto;Fondamenti di teoria delle vibrazioni meccaniche;;1833
RODATO Silvano;Alimenti turismo e ambiente;;1834
RODATO Silvano;Alimenti turismo e ambiente;;1835
MANZONI Edoardo-MCDONALD Lynn;Florence Nightingale;;1836
MAMBRINI Simona;il Francese 10-14;;1837
ACHESON David;1089 e altri numeri magici;;1838
